selections	count
record_count	1022
average_stars:3.5-4.0	611
review_count:100-200	318
funny:0-100	275
fans:10-20	236
average_stars:4.0-4.5	233
yelping_since:2009	228
fans:0-10	227
yelping_since:2008	212
funny:100-200	210
cool:0-100	203
cool:100-200	201
yelping_since:2010	187
review_count:200-300	187
cool:>1000	180
yelping_since:2007	180
review_count:300-400	165
average_stars:3.0-3.5	159
fans:20-30	149
funny:>1000	145
cool:200-300	136
funny:200-300	133
useful:>2000	124
useful:200-300	120
useful:100-200	109
yelping_since:2006	108
review_count:400-500	106
useful:300-400	99
fans:30-40	94
cool:300-400	93
useful:500-600	91
funny:300-400	84
useful:400-500	80
yelping_since:2011	80
review_count:500-600	77
fans:40-50	72
review_count:600-700	64
cool:400-500	63
useful:600-700	62
funny:400-500	59
fans:50-60	51
useful:800-900	46
cool:500-600	44
useful:700-800	42
review_count:700-800	42
fans:60-70	39
review_count:800-900	35
cool:600-700	34
fans:80-90	34
funny:500-600	33
useful:1000-1100	33
useful:0-100	28
useful:1100-1200	27
funny:700-800	26
fans:70-80	25
useful:1300-1400	25
funny:600-700	24
cool:700-800	24
review_count:900-1000	23
useful:900-1000	23
fans:>200	22
cool:800-900	22
cool:900-1000	22
useful:1200-1300	20
funny:800-900	20
yelping_since:2005	18
useful:1400-1500	18
useful:1600-1700	18
fans:90-100	17
useful:1700-1800	16
useful:1500-1600	15
fans:100-110	14
useful:1900-2000	14
fans:110-120	13
funny:900-1000	13
useful:1800-1900	12
average_stars:2.5-3.0	11
average_stars:4.5-5.0	8
yelping_since:2012	8
fans:120-130	8
review_count:0-100	5
fans:130-140	5
fans:140-150	4
fans:180-190	3
fans:160-170	2
fans:150-160	2
fans:170-180	2
fans:190-200	1
yelping_since:2013	1
funny:0-100;review_count:100-200	193
cool:0-100;funny:0-100	187
fans:0-10;funny:0-100	173
fans:0-10;review_count:100-200	171
average_stars:3.5-4.0;review_count:100-200	166
cool:0-100;review_count:100-200	165
cool:0-100;fans:0-10	156
average_stars:3.5-4.0;fans:10-20	148
average_stars:3.5-4.0;funny:0-100	145
cool:>1000;funny:>1000	133
average_stars:3.5-4.0;yelping_since:2008	130
average_stars:3.5-4.0;yelping_since:2009	129
average_stars:3.5-4.0;funny:100-200	127
average_stars:3.5-4.0;cool:100-200	123
average_stars:3.5-4.0;review_count:200-300	120
cool:>1000;useful:>2000	117
average_stars:3.5-4.0;yelping_since:2007	115
average_stars:3.5-4.0;fans:0-10	114
average_stars:3.5-4.0;yelping_since:2010	111
average_stars:3.5-4.0;cool:>1000	110
cool:100-200;fans:10-20	107
funny:>1000;useful:>2000	104
average_stars:3.5-4.0;review_count:300-400	104
funny:0-100;useful:100-200	100
cool:0-100;useful:100-200	99
fans:10-20;review_count:100-200	99
average_stars:3.5-4.0;cool:0-100	99
average_stars:3.5-4.0;fans:20-30	98
review_count:100-200;useful:100-200	96
cool:100-200;funny:100-200	95
fans:10-20;funny:100-200	91
average_stars:3.5-4.0;funny:>1000	90
average_stars:3.5-4.0;funny:200-300	88
review_count:100-200;useful:200-300	88
average_stars:3.5-4.0;cool:200-300	88
review_count:100-200;yelping_since:2009	84
funny:0-100;useful:200-300	84
fans:0-10;useful:100-200	84
average_stars:4.0-4.5;review_count:100-200	83
average_stars:3.5-4.0;useful:>2000	81
cool:100-200;review_count:100-200	80
average_stars:4.0-4.5;funny:0-100	80
fans:10-20;funny:0-100	77
funny:0-100;yelping_since:2009	74
cool:100-200;funny:0-100	74
funny:0-100;yelping_since:2010	72
fans:10-20;review_count:200-300	71
cool:100-200;useful:300-400	71
cool:200-300;funny:100-200	71
funny:100-200;review_count:100-200	70
fans:0-10;useful:200-300	69
average_stars:3.5-4.0;useful:200-300	69
average_stars:3.5-4.0;yelping_since:2006	67
average_stars:3.5-4.0;review_count:400-500	65
review_count:100-200;yelping_since:2008	64
review_count:100-200;yelping_since:2010	61
cool:100-200;review_count:200-300	61
cool:0-100;useful:200-300	60
average_stars:3.5-4.0;useful:300-400	60
average_stars:3.5-4.0;cool:300-400	59
funny:100-200;review_count:200-300	59
average_stars:3.5-4.0;fans:30-40	59
fans:0-10;yelping_since:2009	59
average_stars:3.5-4.0;useful:500-600	58
average_stars:3.0-3.5;review_count:100-200	56
cool:100-200;fans:0-10	56
cool:0-100;yelping_since:2010	56
cool:100-200;useful:200-300	56
average_stars:4.0-4.5;cool:0-100	56
fans:10-20;useful:300-400	55
average_stars:4.0-4.5;fans:0-10	55
average_stars:4.0-4.5;yelping_since:2009	55
cool:100-200;yelping_since:2009	55
cool:0-100;yelping_since:2009	54
fans:10-20;yelping_since:2009	53
average_stars:3.5-4.0;useful:100-200	52
fans:0-10;yelping_since:2010	52
average_stars:3.5-4.0;funny:300-400	51
review_count:200-300;yelping_since:2009	50
cool:200-300;fans:10-20	50
cool:100-200;yelping_since:2008	50
average_stars:3.0-3.5;fans:0-10	49
funny:100-200;useful:300-400	48
average_stars:3.5-4.0;useful:400-500	48
funny:100-200;yelping_since:2009	48
average_stars:3.5-4.0;review_count:500-600	48
fans:10-20;yelping_since:2008	48
funny:0-100;review_count:200-300	48
fans:10-20;yelping_since:2010	48
funny:0-100;yelping_since:2008	47
review_count:300-400;yelping_since:2008	47
average_stars:4.0-4.5;yelping_since:2010	47
average_stars:4.0-4.5;cool:>1000	47
cool:200-300;fans:20-30	47
fans:20-30;funny:100-200	46
cool:>1000;yelping_since:2007	46
cool:200-300;useful:500-600	45
average_stars:4.0-4.5;fans:10-20	45
review_count:100-200;useful:300-400	44
review_count:100-200;yelping_since:2007	44
