selections	count
record_count	1554
average_stars:3.5-4.0	610
review_count:100-200	318
funny:0-100	274
fans:10-20	236
average_stars:4.0-4.5	232
yelping_since:2009	228
fans:0-10	226
yelping_since:2008	212
funny:100-200	210
cool:0-100	202
cool:100-200	200
review_count:200-300	186
yelping_since:2010	186
cool:>1000	180
yelping_since:2007	180
review_count:300-400	164
average_stars:3.0-3.5	158
fans:20-30	148
funny:>1000	144
cool:200-300	136
funny:200-300	132
useful:>2000	124
useful:200-300	120
yelping_since:2006	108
useful:100-200	108
review_count:400-500	106
useful:300-400	98
fans:30-40	94
cool:300-400	92
useful:500-600	90
funny:300-400	84
useful:400-500	80
yelping_since:2011	80
review_count:500-600	76
fans:40-50	72
review_count:600-700	64
cool:400-500	62
useful:600-700	62
funny:400-500	58
fans:50-60	50
useful:800-900	46
cool:500-600	44
review_count:700-800	42
useful:700-800	42
fans:60-70	38
review_count:800-900	34
cool:600-700	34
fans:80-90	34
funny:500-600	32
useful:1000-1100	32
useful:0-100	28
useful:1100-1200	26
funny:700-800	26
cool:700-800	24
useful:1300-1400	24
funny:600-700	24
fans:70-80	24
cool:800-900	22
review_count:900-1000	22
fans:>200	22
useful:900-1000	22
cool:900-1000	22
useful:1200-1300	20
funny:800-900	20
yelping_since:2005	18
useful:1600-1700	18
useful:1400-1500	18
fans:90-100	16
useful:1700-1800	16
useful:1500-1600	14
fans:100-110	14
useful:1900-2000	14
fans:110-120	12
useful:1800-1900	12
funny:900-1000	12
average_stars:2.5-3.0	10
average_stars:4.5-5.0	8
yelping_since:2012	8
fans:120-130	8
fans:130-140	4
fans:140-150	4
review_count:0-100	4
fans:160-170	2
fans:170-180	2
fans:180-190	2
fans:150-160	2
funny:0-100;review_count:100-200	195
cool:0-100;funny:0-100	187
fans:0-10;funny:0-100	173
fans:0-10;review_count:100-200	168
cool:0-100;review_count:100-200	167
cool:0-100;fans:0-10	157
average_stars:3.5-4.0;review_count:100-200	156
average_stars:3.5-4.0;funny:0-100	145
average_stars:3.5-4.0;fans:10-20	137
cool:>1000;funny:>1000	132
cool:>1000;useful:>2000	118
average_stars:3.5-4.0;cool:100-200	112
average_stars:3.5-4.0;yelping_since:2009	109
average_stars:3.5-4.0;fans:0-10	107
average_stars:3.5-4.0;yelping_since:2008	106
average_stars:3.5-4.0;funny:100-200	106
average_stars:3.5-4.0;yelping_since:2007	102
average_stars:3.5-4.0;cool:>1000	102
average_stars:3.5-4.0;cool:0-100	101
cool:100-200;fans:10-20	101
funny:>1000;useful:>2000	101
cool:0-100;useful:100-200	98
funny:0-100;useful:100-200	98
average_stars:3.5-4.0;review_count:200-300	97
review_count:100-200;useful:100-200	94
cool:100-200;funny:100-200	94
average_stars:3.5-4.0;yelping_since:2010	89
fans:10-20;review_count:100-200	87
average_stars:3.5-4.0;funny:>1000	87
fans:0-10;useful:100-200	84
review_count:100-200;useful:200-300	84
funny:0-100;useful:200-300	82
fans:10-20;funny:100-200	80
average_stars:3.5-4.0;useful:>2000	79
average_stars:4.0-4.5;review_count:100-200	76
average_stars:3.5-4.0;review_count:300-400	74
review_count:100-200;yelping_since:2009	73
average_stars:3.5-4.0;funny:200-300	71
average_stars:4.0-4.5;funny:0-100	71
cool:100-200;review_count:100-200	70
average_stars:3.5-4.0;fans:20-30	69
average_stars:3.5-4.0;cool:200-300	69
fans:10-20;funny:0-100	68
funny:0-100;yelping_since:2009	67
funny:0-100;yelping_since:2010	67
cool:100-200;useful:300-400	65
fans:10-20;review_count:200-300	63
cool:200-300;funny:100-200	63
cool:100-200;funny:0-100	62
fans:0-10;useful:200-300	61
average_stars:3.5-4.0;useful:200-300	61
cool:0-100;useful:200-300	59
funny:100-200;review_count:100-200	58
review_count:100-200;yelping_since:2008	57
fans:0-10;yelping_since:2009	54
review_count:100-200;yelping_since:2010	54
average_stars:4.0-4.5;cool:0-100	52
cool:100-200;review_count:200-300	52
cool:0-100;yelping_since:2010	52
fans:0-10;yelping_since:2010	52
average_stars:4.0-4.5;fans:0-10	52
fans:10-20;useful:300-400	51
average_stars:3.5-4.0;useful:100-200	50
review_count:200-300;yelping_since:2009	50
average_stars:3.5-4.0;useful:300-400	50
cool:100-200;yelping_since:2009	50
average_stars:4.0-4.5;yelping_since:2009	49
cool:0-100;yelping_since:2009	49
average_stars:3.5-4.0;review_count:400-500	48
average_stars:3.0-3.5;review_count:100-200	48
funny:100-200;review_count:200-300	48
cool:100-200;fans:0-10	47
cool:100-200;useful:200-300	46
average_stars:3.5-4.0;yelping_since:2006	45
fans:10-20;yelping_since:2009	44
cool:100-200;yelping_since:2008	44
average_stars:3.5-4.0;useful:500-600	44
funny:100-200;useful:300-400	44
cool:200-300;useful:500-600	43
funny:0-100;yelping_since:2008	43
average_stars:3.0-3.5;fans:0-10	43
average_stars:4.0-4.5;cool:>1000	42
cool:200-300;fans:20-30	42
average_stars:3.5-4.0;cool:300-400	41
funny:100-200;yelping_since:2009	41
funny:100-200;useful:400-500	40
average_stars:3.5-4.0;fans:30-40	39
fans:0-10;yelping_since:2008	39
funny:0-100;review_count:200-300	38
average_stars:3.0-3.5;funny:100-200	38
average_stars:4.0-4.5;yelping_since:2010	37
cool:200-300;fans:10-20	37
cool:>1000;yelping_since:2007	37
fans:10-20;yelping_since:2008	37
average_stars:4.0-4.5;useful:100-200	37
fans:10-20;yelping_since:2010	37
fans:10-20;yelping_since:2007	37
fans:20-30;review_count:300-400	37
review_count:100-200;yelping_since:2007	37
funny:100-200;review_count:300-400	36
fans:10-20;useful:200-300	36
fans:10-20;useful:500-600	35
cool:100-200;review_count:300-400	35
review_count:300-400;yelping_since:2008	35
funny:>1000;yelping_since:2007	35
average_stars:3.5-4.0;useful:400-500	34
fans:20-30;funny:100-200	34
average_stars:4.0-4.5;yelping_since:2008	34
useful:200-300;yelping_since:2009	33
cool:300-400;funny:200-300	33
cool:0-100;fans:10-20	33
review_count:100-200;useful:300-400	32
average_stars:3.0-3.5;cool:0-100	32
review_count:200-300;yelping_since:2010	32
fans:20-30;review_count:200-300	32
cool:>1000;yelping_since:2008	32
average_stars:3.0-3.5;fans:10-20	31
funny:100-200;yelping_since:2008	30
average_stars:4.0-4.5;fans:10-20	30
average_stars:3.0-3.5;cool:100-200	30
fans:10-20;review_count:300-400	30
cool:200-300;review_count:200-300	30
average_stars:3.0-3.5;funny:0-100	30
funny:100-200;useful:500-600	29
average_stars:3.0-3.5;yelping_since:2008	29
average_stars:4.0-4.5;funny:>1000	29
cool:0-100;yelping_since:2008	29
average_stars:3.0-3.5;yelping_since:2009	29
cool:200-300;useful:400-500	29
cool:200-300;review_count:100-200	29
review_count:200-300;yelping_since:2007	29
funny:0-100;yelping_since:2007	28
cool:100-200;useful:400-500	28
average_stars:3.5-4.0;review_count:600-700	28
average_stars:4.0-4.5;review_count:300-400	28
review_count:200-300;useful:500-600	28
average_stars:4.0-4.5;cool:100-200	28
fans:0-10;funny:100-200	27
fans:10-20;useful:400-500	27
funny:0-100;useful:0-100	27
useful:100-200;yelping_since:2010	27
fans:20-30;useful:400-500	27
cool:200-300;funny:200-300	27
cool:0-100;useful:0-100	27
funny:200-300;yelping_since:2008	26
funny:200-300;useful:500-600	26
fans:0-10;useful:0-100	26
fans:20-30;funny:200-300	26
average_stars:3.5-4.0;yelping_since:2011	26
cool:200-300;yelping_since:2007	26
funny:200-300;review_count:200-300	26
cool:>1000;yelping_since:2009	26
funny:>1000;yelping_since:2008	25
average_stars:4.0-4.5;funny:100-200	25
average_stars:4.0-4.5;yelping_since:2007	25
average_stars:4.0-4.5;useful:>2000	25
useful:>2000;yelping_since:2008	25
average_stars:3.5-4.0;funny:300-400	25
review_count:100-200;useful:0-100	25
review_count:200-300;useful:300-400	25
average_stars:3.5-4.0;cool:400-500	24
funny:200-300;yelping_since:2010	24
fans:10-20;funny:200-300	24
fans:20-30;yelping_since:2008	24
useful:100-200;yelping_since:2009	24
funny:0-100;useful:300-400	24
review_count:100-200;yelping_since:2011	23
funny:100-200;yelping_since:2007	23
cool:>1000;review_count:600-700	23
cool:100-200;yelping_since:2010	23
useful:100-200;yelping_since:2008	23
useful:>2000;yelping_since:2007	23
average_stars:3.5-4.0;review_count:500-600	23
review_count:200-300;useful:200-300	23
average_stars:3.0-3.5;useful:200-300	22
funny:200-300;review_count:300-400	22
funny:>1000;review_count:400-500	22
average_stars:4.0-4.5;funny:200-300	22
funny:>1000;yelping_since:2009	22
review_count:300-400;yelping_since:2010	22
average_stars:3.5-4.0;fans:40-50	22
average_stars:4.0-4.5;useful:200-300	21
average_stars:4.0-4.5;fans:20-30	21
useful:200-300;yelping_since:2010	21
funny:100-200;useful:200-300	21
review_count:300-400;useful:300-400	21
cool:>1000;review_count:800-900	21
review_count:200-300;useful:400-500	21
fans:0-10;review_count:200-300	21
fans:20-30;yelping_since:2007	21
cool:0-100;yelping_since:2007	20
review_count:800-900;useful:>2000	20
useful:>2000;yelping_since:2009	20
review_count:200-300;yelping_since:2008	20
cool:0-100;yelping_since:2011	20
cool:>1000;review_count:400-500	20
funny:100-200;yelping_since:2010	20
average_stars:4.0-4.5;cool:200-300	20
review_count:300-400;yelping_since:2007	20
cool:>1000;review_count:500-600	20
cool:>1000;yelping_since:2006	20
cool:200-300;yelping_since:2009	20
fans:30-40;funny:200-300	20
funny:0-100;yelping_since:2011	19
average_stars:3.0-3.5;review_count:200-300	19
fans:20-30;yelping_since:2009	19
review_count:500-600;useful:>2000	19
average_stars:4.0-4.5;review_count:200-300	19
review_count:400-500;yelping_since:2007	19
funny:>1000;review_count:800-900	19
fans:0-10;yelping_since:2007	19
cool:200-300;review_count:300-400	19
fans:20-30;review_count:400-500	18
funny:>1000;review_count:600-700	18
funny:100-200;yelping_since:2006	18
review_count:300-400;useful:400-500	18
fans:20-30;yelping_since:2010	18
fans:0-10;yelping_since:2011	18
cool:200-300;yelping_since:2010	18
cool:>1000;yelping_since:2010	17
average_stars:3.5-4.0;fans:60-70	17
funny:300-400;review_count:300-400	17
fans:10-20;yelping_since:2006	17
average_stars:4.0-4.5;fans:30-40	17
review_count:600-700;useful:>2000	17
review_count:100-200;yelping_since:2006	17
cool:400-500;yelping_since:2007	17
fans:20-30;useful:500-600	17
fans:30-40;yelping_since:2008	17
average_stars:3.0-3.5;funny:>1000	17
average_stars:3.5-4.0;funny:400-500	17
average_stars:3.0-3.5;cool:>1000	16
average_stars:3.0-3.5;yelping_since:2006	16
useful:200-300;yelping_since:2008	16
useful:500-600;yelping_since:2009	16
review_count:400-500;yelping_since:2010	16
cool:300-400;funny:300-400	16
fans:0-10;useful:300-400	16
average_stars:3.0-3.5;useful:100-200	16
cool:>1000;fans:>200	16
cool:400-500;review_count:300-400	16
average_stars:3.5-4.0;review_count:800-900	16
cool:300-400;yelping_since:2009	16
fans:10-20;useful:100-200	16
review_count:500-600;yelping_since:2007	16
fans:>200;useful:>2000	16
average_stars:3.5-4.0;useful:600-700	16
cool:300-400;fans:30-40	15
review_count:300-400;yelping_since:2006	15
funny:0-100;yelping_since:2006	15
review_count:600-700;yelping_since:2008	15
useful:300-400;yelping_since:2009	15
cool:100-200;yelping_since:2007	15
average_stars:3.0-3.5;cool:200-300	15
cool:300-400;fans:20-30	15
useful:500-600;yelping_since:2006	15
cool:200-300;yelping_since:2008	15
cool:100-200;fans:20-30	15
funny:>1000;review_count:500-600	15
useful:400-500;yelping_since:2008	15
funny:200-300;yelping_since:2009	15
useful:200-300;yelping_since:2007	15
average_stars:3.5-4.0;useful:800-900	15
funny:200-300;review_count:100-200	15
useful:300-400;yelping_since:2007	15
fans:30-40;review_count:300-400	15
cool:400-500;useful:800-900	14
review_count:300-400;yelping_since:2009	14
cool:0-100;review_count:200-300	14
useful:300-400;yelping_since:2010	14
review_count:400-500;useful:>2000	14
average_stars:3.0-3.5;yelping_since:2010	14
fans:>200;funny:>1000	14
cool:>1000;fans:80-90	14
fans:30-40;review_count:400-500	14
cool:300-400;review_count:200-300	14
cool:>1000;fans:60-70	14
useful:400-500;yelping_since:2009	14
average_stars:3.0-3.5;useful:500-600	14
cool:100-200;funny:200-300	14
cool:400-500;fans:20-30	14
fans:30-40;yelping_since:2009	14
