review_count	yelping_since	useful	funny	cool	fans	average_stars
0-100	2011	100-200	0-100	0-100	0-10	3.0-3.5
0-100	2011	100-200	0-100	0-100	0-10	3.0-3.5
100-200	2006	100-200	0-100	0-100	0-10	3.0-3.5
100-200	2006	100-200	0-100	0-100	0-10	3.0-3.5
100-200	2006	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2006	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2006	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2006	100-200	0-100	0-100	10-20	3.5-4.0
100-200	2006	100-200	0-100	0-100	10-20	3.5-4.0
100-200	2007	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2007	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2007	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2007	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2007	200-300	0-100	0-100	0-10	3.0-3.5
100-200	2007	200-300	0-100	0-100	0-10	3.0-3.5
100-200	2007	200-300	0-100	0-100	0-10	3.5-4.0
100-200	2007	200-300	0-100	0-100	0-10	3.5-4.0
100-200	2007	200-300	0-100	0-100	0-10	3.5-4.0
100-200	2007	200-300	0-100	0-100	10-20	3.5-4.0
100-200	2007	200-300	0-100	0-100	10-20	3.5-4.0
100-200	2007	200-300	0-100	0-100	10-20	3.5-4.0
100-200	2007	200-300	0-100	0-100	10-20	3.5-4.0
100-200	2007	200-300	0-100	100-200	10-20	3.5-4.0
100-200	2007	200-300	0-100	100-200	10-20	3.5-4.0
100-200	2007	300-400	0-100	100-200	0-10	3.5-4.0
100-200	2007	300-400	0-100	100-200	0-10	3.5-4.0
100-200	2007	300-400	100-200	200-300	10-20	3.5-4.0
100-200	2007	300-400	100-200	200-300	10-20	3.5-4.0
100-200	2008	0-100	0-100	0-100	0-10	3.5-4.0
100-200	2008	0-100	0-100	0-100	0-10	3.5-4.0
100-200	2008	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2008	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2008	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2008	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2008	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2008	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2008	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2008	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2008	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2008	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2008	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2008	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2008	100-200	0-100	0-100	10-20	3.5-4.0
100-200	2008	100-200	0-100	0-100	10-20	3.5-4.0
100-200	2008	100-200	0-100	0-100	10-20	4.0-4.5
100-200	2008	100-200	0-100	0-100	10-20	4.0-4.5
100-200	2008	200-300	0-100	0-100	0-10	3.5-4.0
100-200	2008	200-300	0-100	0-100	0-10	3.5-4.0
100-200	2008	200-300	0-100	0-100	0-10	3.5-4.0
100-200	2008	200-300	0-100	100-200	10-20	3.5-4.0
100-200	2008	200-300	0-100	100-200	10-20	3.5-4.0
100-200	2008	200-300	100-200	100-200	0-10	3.5-4.0
100-200	2008	200-300	100-200	100-200	0-10	3.5-4.0
100-200	2008	200-300	100-200	100-200	10-20	3.5-4.0
100-200	2008	200-300	100-200	100-200	10-20	3.5-4.0
100-200	2008	300-400	0-100	100-200	10-20	3.5-4.0
100-200	2008	300-400	0-100	100-200	10-20	3.5-4.0
100-200	2008	300-400	0-100	100-200	10-20	3.5-4.0
100-200	2009	0-100	0-100	0-100	0-10	3.5-4.0
100-200	2009	0-100	0-100	0-100	0-10	3.5-4.0
100-200	2009	0-100	0-100	0-100	0-10	3.5-4.0
100-200	2009	0-100	0-100	0-100	0-10	3.5-4.0
100-200	2009	0-100	0-100	0-100	0-10	3.5-4.0
100-200	2009	0-100	0-100	0-100	0-10	4.0-4.5
100-200	2009	0-100	0-100	0-100	0-10	4.0-4.5
100-200	2009	100-200	0-100	0-100	0-10	3.0-3.5
100-200	2009	100-200	0-100	0-100	0-10	3.0-3.5
100-200	2009	100-200	0-100	0-100	0-10	3.0-3.5
100-200	2009	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2009	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2009	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2009	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2009	100-200	0-100	0-100	0-10	3.5-4.0
100-200	2009	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2009	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2009	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2009	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2009	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2009	100-200	0-100	0-100	0-10	4.0-4.5
100-200	2009	100-200	0-100	0-100	10-20	3.5-4.0
