combo_length	combo	record_id	syn_count	sen_count
2	fans:40-50 AND useful:>2000	1243	1	4
2	fans:110-120 AND review_count:600-700	1331	1	2
2	cool:500-600 AND funny:600-700	765	1	2
2	cool:700-800 AND useful:1300-1400	1385	1	2
2	fans:120-130 AND yelping_since:2009	585	1	2
2	funny:>1000 AND yelping_since:2005	511	1	4
2	review_count:700-800 AND useful:1600-1700	1489	1	2
2	funny:500-600 AND yelping_since:2008	913	1	6
2	fans:40-50 AND funny:500-600	899	1	6
2	fans:60-70 AND yelping_since:2011	1454	1	2
2	funny:500-600 AND review_count:500-600	1124	1	2
2	fans:50-60 AND review_count:700-800	1155	1	4
2	useful:900-1000 AND yelping_since:2006	891	1	4
2	fans:80-90 AND yelping_since:2006	1219	1	2
2	cool:700-800 AND yelping_since:2009	1247	1	4
2	funny:500-600 AND useful:1700-1800	1407	1	2
2	average_stars:4.0-4.5 AND funny:900-1000	573	1	4
2	average_stars:3.5-4.0 AND cool:700-800	1254	1	14
2	useful:1900-2000 AND yelping_since:2006	1224	1	2
2	fans:40-50 AND useful:1700-1800	1405	1	2
2	average_stars:4.0-4.5 AND review_count:700-800	843	1	8
2	average_stars:4.0-4.5 AND useful:1900-2000	1252	1	2
2	funny:300-400 AND useful:900-1000	741	1	4
2	cool:400-500 AND funny:100-200	506	1	4
2	average_stars:3.0-3.5 AND useful:1500-1600	918	1	2
2	fans:20-30 AND useful:900-1000	883	1	4
2	useful:1300-1400 AND yelping_since:2007	801	1	6
2	review_count:400-500 AND useful:300-400	790	1	6
2	fans:40-50 AND useful:700-800	506	1	4
2	cool:500-600 AND useful:800-900	1227	1	6
2	fans:30-40 AND useful:1000-1100	1376	1	4
2	review_count:500-600 AND useful:900-1000	447	1	4
2	fans:90-100 AND review_count:500-600	1323	1	2
2	fans:70-80 AND yelping_since:2006	1218	1	4
2	cool:900-1000 AND fans:50-60	1187	1	4
2	funny:700-800 AND yelping_since:2011	1455	1	2
2	average_stars:4.0-4.5 AND cool:700-800	1169	1	4
2	funny:700-800 AND review_count:700-800	1343	1	4
2	average_stars:3.0-3.5 AND cool:900-1000	1165	1	4
2	review_count:100-200 AND yelping_since:2005	264	1	4
2	funny:900-1000 AND review_count:500-600	1469	1	2
2	cool:100-200 AND funny:300-400	293	1	4
2	fans:30-40 AND funny:600-700	674	1	4
2	useful:1100-1200 AND yelping_since:2010	1104	1	4
2	review_count:200-300 AND useful:800-900	995	1	8
2	fans:80-90 AND funny:300-400	1168	1	2
2	cool:>1000 AND useful:1900-2000	938	1	8
2	fans:10-20 AND review_count:700-800	1346	1	2
2	fans:0-10 AND useful:600-700	1426	1	2
2	fans:40-50 AND funny:800-900	1179	1	2
2	cool:200-300 AND review_count:500-600	819	1	6
2	cool:400-500 AND review_count:500-600	1116	1	6
2	funny:600-700 AND review_count:700-800	1481	1	2
2	fans:70-80 AND useful:1000-1100	1377	1	2
2	useful:1200-1300 AND yelping_since:2008	1127	1	6
2	cool:500-600 AND yelping_since:2007	685	1	6
2	fans:80-90 AND review_count:600-700	450	1	6
2	average_stars:4.0-4.5 AND useful:1500-1600	1115	1	4
2	funny:800-900 AND useful:1300-1400	1392	1	2
2	useful:900-1000 AND yelping_since:2009	447	1	6
2	fans:40-50 AND funny:700-800	1282	1	6
2	average_stars:3.0-3.5 AND useful:0-100	487	1	4
2	fans:40-50 AND useful:500-600	680	1	2
2	funny:300-400 AND useful:1100-1200	862	1	8
2	fans:10-20 AND useful:800-900	881	1	6
2	fans:70-80 AND review_count:400-500	1304	1	4
2	useful:1500-1600 AND yelping_since:2011	1456	1	2
2	average_stars:3.5-4.0 AND fans:180-190	508	1	2
2	review_count:200-300 AND useful:1100-1200	694	1	4
2	cool:>1000 AND yelping_since:2011	962	1	4
2	cool:200-300 AND review_count:600-700	836	1	4
2	fans:40-50 AND useful:1400-1500	866	1	4
2	cool:600-700 AND yelping_since:2006	1215	1	2
2	cool:900-1000 AND funny:700-800	1240	1	2
2	funny:400-500 AND useful:700-800	1041	1	2
2	useful:1100-1200 AND yelping_since:2009	1249	1	2
2	cool:200-300 AND review_count:900-1000	1162	1	2
2	cool:800-900 AND useful:1400-1500	1193	1	2
2	cool:>1000 AND fans:180-190	508	1	2
2	fans:80-90 AND yelping_since:2008	561	1	4
2	cool:300-400 AND useful:300-400	1203	1	2
2	average_stars:3.5-4.0 AND funny:900-1000	869	1	6
2	cool:800-900 AND review_count:500-600	1467	1	2
2	average_stars:3.0-3.5 AND useful:1900-2000	1202	1	4
2	review_count:300-400 AND useful:>2000	742	1	8
2	cool:700-800 AND funny:400-500	1172	1	2
2	fans:40-50 AND review_count:100-200	981	1	4
2	fans:70-80 AND yelping_since:2008	1233	1	2
2	review_count:500-600 AND yelping_since:2005	1473	1	2
2	average_stars:4.0-4.5 AND cool:600-700	900	1	4
2	cool:700-800 AND fans:40-50	1172	1	4
2	funny:400-500 AND useful:400-500	870	1	2
2	cool:200-300 AND yelping_since:2011	786	1	10
2	funny:>1000 AND review_count:200-300	686	1	6
2	cool:100-200 AND review_count:600-700	462	1	2
2	cool:>1000 AND funny:700-800	989	1	10
2	fans:110-120 AND yelping_since:2008	1331	1	4
2	cool:900-1000 AND yelping_since:2007	1092	1	2
2	fans:80-90 AND funny:800-900	1313	1	4
2	cool:900-1000 AND review_count:500-600	1468	1	2
2	cool:900-1000 AND useful:1200-1300	1187	1	2
2	fans:70-80 AND yelping_since:2009	573	1	6
2	fans:10-20 AND yelping_since:2005	264	1	2
2	review_count:300-400 AND useful:1400-1500	1285	1	4
2	fans:30-40 AND funny:0-100	730	1	2
2	fans:180-190 AND useful:>2000	508	1	2
2	funny:500-600 AND review_count:600-700	1327	1	6
2	review_count:300-400 AND useful:100-200	1465	1	2
2	cool:500-600 AND funny:800-900	1371	1	2
2	review_count:500-600 AND useful:600-700	1470	1	4
2	cool:700-800 AND funny:700-800	1222	1	2
2	fans:50-60 AND review_count:300-400	407	1	10
2	review_count:500-600 AND useful:1000-1100	1314	1	2
2	fans:120-130 AND yelping_since:2010	235	1	2
2	fans:20-30 AND funny:>1000	1074	1	6
2	useful:1300-1400 AND yelping_since:2010	1259	1	4
2	useful:1200-1300 AND yelping_since:2006	1223	1	2
2	cool:200-300 AND yelping_since:2005	264	1	2
2	funny:400-500 AND review_count:600-700	1474	1	2
2	fans:50-60 AND funny:900-1000	1372	1	2
2	review_count:200-300 AND yelping_since:2005	1463	1	4
2	funny:900-1000 AND yelping_since:2009	573	1	4
2	review_count:500-600 AND useful:800-900	1116	1	4
2	funny:500-600 AND useful:1300-1400	1386	1	4
2	funny:700-800 AND review_count:300-400	1282	1	4
2	review_count:500-600 AND useful:1300-1400	1316	1	4
2	fans:40-50 AND useful:1300-1400	1081	1	6
2	fans:90-100 AND yelping_since:2006	1447	1	4
2	fans:80-90 AND review_count:300-400	1277	1	4
2	average_stars:4.0-4.5 AND cool:800-900	913	1	4
2	fans:120-130 AND yelping_since:2007	540	1	2
2	cool:200-300 AND fans:0-10	1278	1	10
2	average_stars:4.0-4.5 AND fans:90-100	956	1	2
2	cool:500-600 AND useful:700-800	1428	1	2
2	funny:100-200 AND useful:800-900	404	1	6
2	cool:500-600 AND funny:500-600	1185	1	4
2	funny:200-300 AND useful:1100-1200	1140	1	4
2	funny:600-700 AND review_count:300-400	765	1	4
2	useful:1600-1700 AND yelping_since:2010	952	1	4
2	fans:>200 AND yelping_since:2006	521	1	2
2	cool:500-600 AND review_count:900-1000	1502	1	2
2	cool:600-700 AND fans:80-90	1168	1	4
2	funny:>1000 AND useful:1700-1800	1083	1	6
2	fans:100-110 AND review_count:600-700	1324	1	4
2	useful:900-1000 AND yelping_since:2008	924	1	6
2	funny:500-600 AND review_count:800-900	1498	1	2
2	fans:70-80 AND review_count:300-400	1029	1	4
2	useful:700-800 AND yelping_since:2006	1449	1	2
2	useful:1800-1900 AND yelping_since:2010	953	1	2
2	fans:50-60 AND useful:1800-1900	1414	1	2
2	useful:1600-1700 AND yelping_since:2011	962	1	2
2	fans:80-90 AND useful:1900-2000	1425	1	2
2	cool:>1000 AND review_count:100-200	980	1	2
2	cool:>1000 AND yelping_since:2005	511	1	4
2	fans:50-60 AND useful:1700-1800	1406	1	2
2	average_stars:4.0-4.5 AND useful:1200-1300	1188	1	2
2	cool:700-800 AND yelping_since:2006	1222	1	4
2	cool:600-700 AND yelping_since:2008	912	1	6
2	cool:900-1000 AND funny:300-400	1357	1	2
2	fans:60-70 AND useful:1900-2000	1420	1	2
2	funny:500-600 AND yelping_since:2010	1257	1	4
2	cool:300-400 AND review_count:700-800	841	1	2
2	fans:60-70 AND review_count:500-600	442	1	2
2	fans:>200 AND review_count:700-800	1479	1	2
2	useful:1000-1100 AND yelping_since:2010	1307	1	4
2	average_stars:3.5-4.0 AND useful:1700-1800	869	1	8
2	cool:700-800 AND yelping_since:2010	1254	1	2
2	cool:500-600 AND review_count:200-300	685	1	2
2	funny:100-200 AND yelping_since:2005	264	1	2
2	average_stars:4.0-4.5 AND useful:800-900	1084	1	6
2	cool:200-300 AND useful:700-800	504	1	10
2	fans:20-30 AND useful:1400-1500	1082	1	2
2	review_count:200-300 AND yelping_since:2012	1464	1	2
2	fans:50-60 AND useful:1300-1400	1384	1	2
2	cool:700-800 AND useful:800-900	1431	1	2
2	review_count:500-600 AND yelping_since:2006	1317	1	6
2	cool:300-400 AND useful:400-500	620	1	6
2	cool:900-1000 AND useful:1300-1400	1081	1	2
2	review_count:700-800 AND useful:1900-2000	1490	1	2
2	review_count:600-700 AND useful:1800-1900	1475	1	4
2	average_stars:3.5-4.0 AND useful:1800-1900	953	1	6
2	cool:600-700 AND review_count:500-600	1114	1	2
2	funny:500-600 AND review_count:300-400	1057	1	8
2	funny:700-800 AND yelping_since:2010	719	1	4
2	average_stars:4.0-4.5 AND useful:1300-1400	1250	1	4
2	average_stars:3.0-3.5 AND useful:700-800	583	1	2
2	fans:180-190 AND funny:>1000	508	1	2
2	review_count:600-700 AND yelping_since:2005	1142	1	2
2	average_stars:3.0-3.5 AND useful:800-900	879	1	4
2	useful:800-900 AND yelping_since:2006	1227	1	4
2	funny:800-900 AND yelping_since:2010	1451	1	2
2	review_count:500-600 AND useful:1500-1600	1115	1	2
2	review_count:400-500 AND useful:1700-1800	1083	1	2
2	cool:700-800 AND review_count:400-500	1297	1	4
2	fans:50-60 AND funny:500-600	1361	1	4
2	review_count:600-700 AND useful:1100-1200	1140	1	2
2	fans:40-50 AND review_count:700-800	1156	1	6
2	cool:0-100 AND review_count:300-400	1035	1	6
2	funny:800-900 AND review_count:500-600	1313	1	4
2	fans:30-40 AND useful:1600-1700	952	1	2
2	funny:500-600 AND useful:1000-1100	1185	1	4
2	funny:500-600 AND useful:900-1000	1437	1	2
2	useful:0-100 AND yelping_since:2007	271	1	2
2	cool:200-300 AND useful:800-900	880	1	4
2	useful:>2000 AND yelping_since:2005	511	1	2
2	cool:700-800 AND funny:300-400	1169	1	4
2	fans:70-80 AND funny:300-400	1029	1	4
3	average_stars:4.0-4.5 AND review_count:300-400 AND useful:400-500	730	1	2
3	average_stars:4.0-4.5 AND funny:300-400 AND review_count:100-200	626	1	2
3	average_stars:4.0-4.5 AND funny:>1000 AND review_count:900-1000	483	1	2
3	average_stars:4.0-4.5 AND cool:>1000 AND review_count:200-300	686	1	2
3	fans:20-30 AND review_count:300-400 AND yelping_since:2009	773	1	6
3	average_stars:3.5-4.0 AND review_count:500-600 AND yelping_since:2010	825	1	4
3	average_stars:3.0-3.5 AND funny:100-200 AND useful:100-200	314	1	2
3	fans:40-50 AND review_count:500-600 AND yelping_since:2008	820	1	2
3	average_stars:3.0-3.5 AND cool:100-200 AND funny:300-400	293	1	2
3	average_stars:4.0-4.5 AND useful:900-1000 AND yelping_since:2009	447	1	2
3	cool:400-500 AND funny:100-200 AND useful:700-800	506	1	2
