selections	protected_count
record_count	1022
average_stars:3.5-4.0	610
review_count:100-200	318
funny:0-100	274
fans:10-20	236
average_stars:4.0-4.5	232
yelping_since:2009	228
fans:0-10	226
yelping_since:2008	212
funny:100-200	210
cool:0-100	202
cool:100-200	200
yelping_since:2010	186
review_count:200-300	186
cool:>1000	180
yelping_since:2007	180
review_count:300-400	164
average_stars:3.0-3.5	158
fans:20-30	148
funny:>1000	144
cool:200-300	136
funny:200-300	132
useful:>2000	124
useful:200-300	120
useful:100-200	108
yelping_since:2006	108
review_count:400-500	106
useful:300-400	98
fans:30-40	94
cool:300-400	92
useful:500-600	90
funny:300-400	84
useful:400-500	80
yelping_since:2011	80
review_count:500-600	76
fans:40-50	72
review_count:600-700	64
cool:400-500	62
useful:600-700	62
funny:400-500	58
fans:50-60	50
useful:800-900	46
cool:500-600	44
useful:700-800	42
review_count:700-800	42
fans:60-70	38
cool:600-700	34
fans:80-90	34
review_count:800-900	34
funny:500-600	32
useful:1000-1100	32
useful:0-100	28
funny:700-800	26
useful:1100-1200	26
fans:70-80	24
useful:1300-1400	24
funny:600-700	24
cool:700-800	24
fans:>200	22
review_count:900-1000	22
cool:800-900	22
useful:900-1000	22
cool:900-1000	22
useful:1200-1300	20
funny:800-900	20
yelping_since:2005	18
useful:1400-1500	18
useful:1600-1700	18
fans:90-100	16
useful:1700-1800	16
useful:1500-1600	14
fans:100-110	14
useful:1900-2000	14
useful:1800-1900	12
fans:110-120	12
funny:900-1000	12
average_stars:2.5-3.0	10
average_stars:4.5-5.0	8
yelping_since:2012	8
fans:120-130	8
fans:140-150	4
review_count:0-100	4
fans:130-140	4
fans:160-170	2
fans:180-190	2
fans:150-160	2
fans:170-180	2
funny:0-100;review_count:100-200	192
cool:0-100;funny:0-100	186
fans:0-10;funny:0-100	172
fans:0-10;review_count:100-200	170
average_stars:3.5-4.0;review_count:100-200	166
cool:0-100;review_count:100-200	164
cool:0-100;fans:0-10	156
average_stars:3.5-4.0;fans:10-20	148
average_stars:3.5-4.0;funny:0-100	144
cool:>1000;funny:>1000	132
average_stars:3.5-4.0;yelping_since:2008	130
average_stars:3.5-4.0;yelping_since:2009	128
average_stars:3.5-4.0;funny:100-200	126
average_stars:3.5-4.0;cool:100-200	122
average_stars:3.5-4.0;review_count:200-300	120
cool:>1000;useful:>2000	116
average_stars:3.5-4.0;yelping_since:2007	114
average_stars:3.5-4.0;fans:0-10	114
average_stars:3.5-4.0;cool:>1000	110
average_stars:3.5-4.0;yelping_since:2010	110
cool:100-200;fans:10-20	106
funny:>1000;useful:>2000	104
average_stars:3.5-4.0;review_count:300-400	104
funny:0-100;useful:100-200	100
cool:0-100;useful:100-200	98
fans:10-20;review_count:100-200	98
average_stars:3.5-4.0;cool:0-100	98
average_stars:3.5-4.0;fans:20-30	98
review_count:100-200;useful:100-200	96
cool:100-200;funny:100-200	94
fans:10-20;funny:100-200	90
average_stars:3.5-4.0;funny:>1000	90
average_stars:3.5-4.0;funny:200-300	88
review_count:100-200;useful:200-300	88
average_stars:3.5-4.0;cool:200-300	88
review_count:100-200;yelping_since:2009	84
funny:0-100;useful:200-300	84
fans:0-10;useful:100-200	84
average_stars:4.0-4.5;review_count:100-200	82
average_stars:3.5-4.0;useful:>2000	80
cool:100-200;review_count:100-200	80
average_stars:4.0-4.5;funny:0-100	80
fans:10-20;funny:0-100	76
funny:0-100;yelping_since:2009	74
cool:100-200;funny:0-100	74
funny:0-100;yelping_since:2010	72
fans:10-20;review_count:200-300	70
funny:100-200;review_count:100-200	70
cool:100-200;useful:300-400	70
cool:200-300;funny:100-200	70
fans:0-10;useful:200-300	68
average_stars:3.5-4.0;useful:200-300	68
average_stars:3.5-4.0;yelping_since:2006	66
review_count:100-200;yelping_since:2008	64
average_stars:3.5-4.0;review_count:400-500	64
review_count:100-200;yelping_since:2010	60
cool:100-200;review_count:200-300	60
cool:0-100;useful:200-300	60
average_stars:3.5-4.0;useful:300-400	60
average_stars:3.5-4.0;cool:300-400	58
funny:100-200;review_count:200-300	58
average_stars:3.5-4.0;fans:30-40	58
fans:0-10;yelping_since:2009	58
average_stars:3.5-4.0;useful:500-600	58
average_stars:3.0-3.5;review_count:100-200	56
cool:100-200;fans:0-10	56
cool:0-100;yelping_since:2010	56
cool:100-200;useful:200-300	56
average_stars:4.0-4.5;cool:0-100	56
fans:10-20;useful:300-400	54
average_stars:4.0-4.5;fans:0-10	54
cool:0-100;yelping_since:2009	54
average_stars:4.0-4.5;yelping_since:2009	54
cool:100-200;yelping_since:2009	54
average_stars:3.5-4.0;useful:100-200	52
fans:10-20;yelping_since:2009	52
fans:0-10;yelping_since:2010	52
average_stars:3.5-4.0;funny:300-400	50
review_count:200-300;yelping_since:2009	50
cool:200-300;fans:10-20	50
cool:100-200;yelping_since:2008	50
funny:100-200;useful:300-400	48
average_stars:3.5-4.0;useful:400-500	48
funny:100-200;yelping_since:2009	48
average_stars:3.5-4.0;review_count:500-600	48
fans:10-20;yelping_since:2008	48
funny:0-100;review_count:200-300	48
average_stars:3.0-3.5;fans:0-10	48
fans:10-20;yelping_since:2010	48
fans:20-30;funny:100-200	46
funny:0-100;yelping_since:2008	46
review_count:300-400;yelping_since:2008	46
average_stars:4.0-4.5;yelping_since:2010	46
average_stars:4.0-4.5;cool:>1000	46
cool:200-300;fans:20-30	46
cool:>1000;yelping_since:2007	46
cool:200-300;useful:500-600	44
review_count:100-200;useful:300-400	44
review_count:100-200;yelping_since:2007	44
average_stars:3.5-4.0;yelping_since:2011	44
average_stars:4.0-4.5;fans:10-20	44
average_stars:3.5-4.0;fans:40-50	44
average_stars:3.0-3.5;funny:100-200	44
average_stars:3.5-4.0;review_count:600-700	42
fans:10-20;useful:200-300	42
funny:>1000;yelping_since:2007	42
funny:100-200;yelping_since:2008	42
fans:10-20;useful:500-600	42
funny:100-200;useful:400-500	42
fans:0-10;funny:100-200	42
cool:100-200;review_count:300-400	42
cool:200-300;review_count:200-300	42
fans:0-10;yelping_since:2008	42
funny:100-200;review_count:300-400	40
fans:10-20;review_count:300-400	40
review_count:200-300;yelping_since:2010	40
fans:10-20;yelping_since:2007	40
average_stars:4.0-4.5;yelping_since:2008	40
average_stars:3.0-3.5;yelping_since:2008	40
average_stars:3.0-3.5;cool:0-100	40
cool:0-100;fans:10-20	40
average_stars:3.0-3.5;fans:10-20	40
average_stars:3.0-3.5;funny:0-100	38
fans:20-30;review_count:300-400	38
review_count:200-300;yelping_since:2007	38
average_stars:4.0-4.5;yelping_since:2007	38
cool:200-300;useful:400-500	38
funny:0-100;useful:300-400	38
average_stars:3.5-4.0;cool:400-500	38
average_stars:4.0-4.5;review_count:300-400	38
cool:200-300;review_count:100-200	38
funny:100-200;useful:500-600	38
average_stars:3.0-3.5;cool:100-200	38
cool:300-400;funny:200-300	38
average_stars:3.0-3.5;yelping_since:2009	38
fans:10-20;funny:200-300	36
average_stars:4.0-4.5;useful:100-200	36
cool:>1000;yelping_since:2008	36
average_stars:3.5-4.0;useful:600-700	36
funny:100-200;yelping_since:2007	36
useful:200-300;yelping_since:2009	36
average_stars:4.0-4.5;funny:100-200	36
fans:10-20;useful:400-500	36
average_stars:4.0-4.5;review_count:200-300	36
average_stars:3.5-4.0;funny:400-500	36
funny:100-200;yelping_since:2010	34
cool:200-300;funny:200-300	34
fans:20-30;yelping_since:2008	34
review_count:200-300;useful:500-600	34
average_stars:4.0-4.5;cool:100-200	34
cool:100-200;yelping_since:2010	34
fans:20-30;review_count:200-300	34
average_stars:3.5-4.0;useful:800-900	34
funny:200-300;review_count:300-400	32
funny:200-300;yelping_since:2008	32
fans:0-10;review_count:200-300	32
cool:>1000;yelping_since:2009	32
cool:100-200;useful:400-500	32
review_count:100-200;yelping_since:2011	30
funny:100-200;useful:200-300	30
cool:100-200;fans:20-30	30
fans:20-30;funny:200-300	30
average_stars:4.0-4.5;fans:20-30	30
cool:0-100;yelping_since:2008	30
review_count:200-300;useful:300-400	30
funny:200-300;review_count:200-300	30
average_stars:3.5-4.0;useful:700-800	30
funny:200-300;useful:500-600	30
funny:0-100;yelping_since:2007	30
average_stars:4.0-4.5;funny:>1000	30
fans:20-30;yelping_since:2007	30
funny:0-100;useful:0-100	28
useful:100-200;yelping_since:2010	28
average_stars:3.0-3.5;review_count:200-300	28
fans:20-30;useful:400-500	28
average_stars:4.0-4.5;funny:200-300	28
fans:20-30;yelping_since:2009	28
useful:>2000;yelping_since:2007	28
review_count:300-400;yelping_since:2009	28
cool:>1000;review_count:400-500	28
average_stars:4.0-4.5;cool:200-300	28
cool:>1000;review_count:500-600	28
useful:>2000;yelping_since:2008	28
average_stars:3.5-4.0;cool:500-600	28
review_count:200-300;yelping_since:2008	28
cool:0-100;useful:0-100	28
fans:0-10;yelping_since:2007	28
funny:>1000;yelping_since:2008	28
funny:>1000;yelping_since:2009	28
funny:200-300;yelping_since:2010	26
average_stars:3.5-4.0;fans:60-70	26
cool:200-300;yelping_since:2007	26
fans:20-30;review_count:400-500	26
cool:300-400;fans:20-30	26
review_count:300-400;yelping_since:2010	26
review_count:300-400;yelping_since:2007	26
cool:100-200;funny:200-300	26
useful:100-200;yelping_since:2009	26
cool:>1000;yelping_since:2010	26
fans:0-10;useful:0-100	26
cool:>1000;review_count:600-700	26
funny:>1000;review_count:400-500	26
average_stars:3.5-4.0;review_count:700-800	26
average_stars:4.0-4.5;useful:>2000	26
review_count:200-300;useful:400-500	26
fans:20-30;review_count:100-200	26
average_stars:4.0-4.5;fans:30-40	26
cool:200-300;yelping_since:2010	26
funny:200-300;review_count:100-200	26
fans:30-40;funny:200-300	26
average_stars:3.5-4.0;fans:50-60	26
cool:>1000;review_count:300-400	26
fans:0-10;useful:300-400	26
cool:>1000;yelping_since:2006	26
cool:200-300;yelping_since:2009	26
fans:30-40;yelping_since:2008	24
average_stars:3.0-3.5;yelping_since:2007	24
funny:0-100;yelping_since:2011	24
cool:100-200;yelping_since:2007	24
review_count:100-200;yelping_since:2006	24
funny:200-300;yelping_since:2009	24
fans:0-10;yelping_since:2011	24
useful:>2000;yelping_since:2009	24
average_stars:3.0-3.5;useful:200-300	24
fans:20-30;yelping_since:2010	24
fans:30-40;review_count:300-400	24
fans:10-20;yelping_since:2006	24
cool:200-300;yelping_since:2008	24
average_stars:4.0-4.5;review_count:400-500	24
review_count:400-500;yelping_since:2007	24
review_count:200-300;useful:200-300	24
review_count:100-200;useful:0-100	24
cool:0-100;yelping_since:2007	22
review_count:800-900;useful:>2000	22
review_count:300-400;yelping_since:2006	22
useful:300-400;yelping_since:2010	22
useful:100-200;yelping_since:2008	22
fans:20-30;useful:500-600	22
fans:10-20;useful:100-200	22
cool:0-100;yelping_since:2011	22
review_count:500-600;useful:>2000	22
average_stars:3.0-3.5;yelping_since:2010	22
funny:100-200;yelping_since:2006	22
cool:>1000;review_count:800-900	22
average_stars:3.5-4.0;cool:600-700	22
cool:200-300;review_count:300-400	22
funny:100-200;review_count:400-500	22
cool:300-400;funny:100-200	22
average_stars:3.0-3.5;cool:>1000	22
average_stars:4.0-4.5;useful:200-300	22
cool:>1000;fans:60-70	22
fans:30-40;yelping_since:2009	22
cool:0-100;review_count:200-300	22
average_stars:4.0-4.5;yelping_since:2011	22
review_count:400-500;yelping_since:2009	22
funny:>1000;review_count:600-700	22
average_stars:3.0-3.5;review_count:300-400	22
cool:300-400;fans:10-20	22
cool:>1000;fans:80-90	22
average_stars:3.0-3.5;funny:>1000	22
review_count:100-200;useful:500-600	22
average_stars:3.0-3.5;useful:300-400	20
useful:300-400;yelping_since:2009	20
cool:>1000;fans:>200	20
fans:>200;funny:>1000	20
funny:>1000;review_count:500-600	20
average_stars:3.5-4.0;review_count:800-900	20
fans:20-30;funny:0-100	20
cool:300-400;yelping_since:2009	20
average_stars:3.5-4.0;useful:1000-1100	20
funny:100-200;yelping_since:2011	20
average_stars:4.0-4.5;yelping_since:2006	20
average_stars:4.0-4.5;funny:300-400	20
review_count:400-500;yelping_since:2010	20
funny:300-400;review_count:300-400	20
cool:400-500;funny:300-400	20
useful:400-500;yelping_since:2009	20
cool:300-400;useful:500-600	20
cool:100-200;useful:500-600	20
review_count:100-200;useful:400-500	20
funny:300-400;yelping_since:2007	20
average_stars:3.5-4.0;fans:80-90	20
average_stars:4.0-4.5;useful:400-500	20
cool:300-400;funny:300-400	20
useful:300-400;yelping_since:2008	20
average_stars:4.0-4.5;cool:300-400	20
cool:300-400;useful:600-700	20
fans:30-40;review_count:200-300	20
review_count:600-700;useful:>2000	20
cool:300-400;review_count:200-300	20
fans:>200;useful:>2000	20
cool:300-400;fans:30-40	20
useful:200-300;yelping_since:2010	20
funny:>1000;review_count:300-400	20
review_count:300-400;useful:400-500	20
useful:400-500;yelping_since:2008	20
useful:>2000;yelping_since:2010	20
funny:0-100;review_count:300-400	20
review_count:500-600;yelping_since:2007	20
funny:>1000;review_count:800-900	20
fans:30-40;funny:100-200	18
cool:300-400;yelping_since:2010	18
average_stars:3.0-3.5;cool:200-300	18
cool:300-400;yelping_since:2008	18
review_count:200-300;useful:600-700	18
cool:400-500;yelping_since:2008	18
cool:>1000;fans:50-60	18
cool:200-300;review_count:400-500	18
average_stars:3.0-3.5;fans:20-30	18
useful:500-600;yelping_since:2010	18
useful:200-300;yelping_since:2008	18
useful:500-600;yelping_since:2008	18
funny:0-100;yelping_since:2006	18
fans:20-30;useful:600-700	18
review_count:400-500;yelping_since:2008	18
funny:>1000;yelping_since:2006	18
review_count:400-500;useful:>2000	18
review_count:300-400;useful:300-400	18
funny:0-100;useful:400-500	18
cool:200-300;useful:600-700	18
cool:300-400;review_count:300-400	18
cool:300-400;yelping_since:2007	18
funny:200-300;yelping_since:2007	18
review_count:600-700;yelping_since:2008	18
average_stars:3.5-4.0;funny:600-700	18
review_count:500-600;yelping_since:2008	18
review_count:700-800;useful:>2000	18
cool:>1000;review_count:700-800	18
useful:200-300;yelping_since:2007	18
average_stars:3.5-4.0;useful:1100-1200	18
average_stars:4.0-4.5;review_count:500-600	18
cool:300-400;review_count:100-200	18
average_stars:3.0-3.5;yelping_since:2006	18
fans:20-30;funny:300-400	18
funny:>1000;yelping_since:2010	18
useful:500-600;yelping_since:2007	18
cool:200-300;fans:30-40	18
average_stars:3.0-3.5;useful:500-600	18
average_stars:4.0-4.5;useful:300-400	18
cool:200-300;yelping_since:2006	18
cool:400-500;funny:400-500	16
cool:300-400;useful:700-800	16
useful:>2000;yelping_since:2006	16
funny:200-300;useful:600-700	16
funny:300-400;yelping_since:2009	16
average_stars:3.0-3.5;review_count:400-500	16
cool:400-500;review_count:300-400	16
fans:30-40;review_count:400-500	16
review_count:300-400;useful:500-600	16
funny:300-400;yelping_since:2008	16
review_count:300-400;useful:700-800	16
cool:100-200;yelping_since:2006	16
cool:>1000;review_count:900-1000	16
fans:40-50;review_count:400-500	16
cool:400-500;funny:200-300	16
average_stars:3.0-3.5;funny:200-300	16
cool:400-500;yelping_since:2007	16
fans:10-20;yelping_since:2011	16
fans:20-30;yelping_since:2006	16
cool:0-100;funny:100-200	16
funny:100-200;useful:700-800	16
average_stars:4.0-4.5;cool:400-500	16
fans:80-90;funny:>1000	16
funny:100-200;useful:600-700	16
fans:20-30;useful:700-800	16
funny:300-400;review_count:200-300	16
review_count:300-400;useful:800-900	16
fans:30-40;funny:300-400	16
average_stars:3.5-4.0;funny:500-600	16
average_stars:3.5-4.0;review_count:900-1000	16
average_stars:3.5-4.0;cool:800-900	16
cool:100-200;yelping_since:2011	16
fans:0-10;review_count:300-400	16
useful:500-600;yelping_since:2009	16
fans:40-50;yelping_since:2009	16
fans:60-70;funny:>1000	16
average_stars:3.0-3.5;useful:100-200	16
fans:80-90;useful:>2000	16
average_stars:3.0-3.5;useful:>2000	16
average_stars:4.0-4.5;useful:500-600	14
fans:20-30;funny:400-500	14
cool:>1000;fans:70-80	14
fans:10-20;useful:600-700	14
average_stars:4.0-4.5;fans:40-50	14
funny:200-300;useful:400-500	14
fans:40-50;review_count:200-300	14
average_stars:3.5-4.0;cool:700-800	14
funny:400-500;yelping_since:2007	14
fans:30-40;useful:600-700	14
average_stars:3.5-4.0;useful:1200-1300	14
useful:500-600;yelping_since:2006	14
fans:50-60;funny:>1000	14
average_stars:3.5-4.0;fans:70-80	14
fans:10-20;funny:400-500	14
review_count:300-400;useful:600-700	14
average_stars:4.0-4.5;useful:600-700	14
fans:40-50;yelping_since:2010	14
review_count:200-300;yelping_since:2011	14
fans:30-40;useful:800-900	14
funny:300-400;useful:600-700	14
funny:200-300;yelping_since:2006	14
funny:400-500;yelping_since:2008	14
average_stars:4.0-4.5;fans:50-60	14
cool:400-500;fans:20-30	14
funny:200-300;useful:800-900	14
cool:400-500;useful:600-700	14
average_stars:3.5-4.0;useful:1300-1400	14
useful:300-400;yelping_since:2007	14
average_stars:3.5-4.0;funny:800-900	14
average_stars:3.5-4.0;funny:700-800	14
funny:>1000;review_count:700-800	14
average_stars:3.5-4.0;fans:>200	14
useful:400-500;yelping_since:2010	14
funny:400-500;review_count:500-600	12
average_stars:3.0-3.5;funny:300-400	12
fans:20-30;useful:300-400	12
fans:20-30;useful:800-900	12
fans:30-40;yelping_since:2007	12
review_count:600-700;yelping_since:2010	12
funny:200-300;useful:700-800	12
funny:200-300;yelping_since:2011	12
useful:700-800;yelping_since:2009	12
fans:30-40;yelping_since:2006	12
cool:200-300;useful:300-400	12
fans:10-20;funny:300-400	12
fans:50-60;funny:300-400	12
funny:300-400;review_count:100-200	12
fans:0-10;useful:500-600	12
average_stars:4.0-4.5;funny:400-500	12
average_stars:3.0-3.5;cool:300-400	12
cool:400-500;fans:40-50	12
funny:200-300;useful:1000-1100	12
cool:400-500;useful:800-900	12
useful:400-500;yelping_since:2007	12
cool:500-600;fans:30-40	12
cool:300-400;useful:800-900	12
cool:400-500;review_count:200-300	12
funny:400-500;review_count:200-300	12
cool:>1000;fans:40-50	12
review_count:400-500;yelping_since:2006	12
useful:600-700;yelping_since:2008	12
average_stars:3.5-4.0;cool:900-1000	12
funny:400-500;useful:600-700	12
useful:600-700;yelping_since:2009	12
cool:300-400;fans:40-50	12
average_stars:3.5-4.0;fans:90-100	12
fans:30-40;review_count:500-600	12
fans:80-90;yelping_since:2009	12
funny:300-400;yelping_since:2006	12
review_count:300-400;yelping_since:2011	12
average_stars:4.0-4.5;review_count:600-700	12
fans:40-50;yelping_since:2007	12
funny:200-300;review_count:500-600	12
average_stars:3.0-3.5;fans:40-50	12
cool:300-400;review_count:400-500	12
fans:30-40;yelping_since:2010	12
cool:200-300;funny:0-100	12
cool:>1000;fans:110-120	12
useful:200-300;yelping_since:2011	12
fans:50-60;yelping_since:2007	12
cool:>1000;review_count:200-300	12
cool:500-600;review_count:300-400	12
fans:0-10;yelping_since:2006	12
fans:40-50;funny:300-400	12
cool:500-600;funny:300-400	12
review_count:400-500;useful:1000-1100	12
average_stars:3.5-4.0;useful:0-100	12
fans:40-50;review_count:300-400	12
fans:40-50;yelping_since:2008	12
useful:600-700;yelping_since:2007	12
cool:0-100;useful:300-400	12
average_stars:4.0-4.5;cool:500-600	12
funny:200-300;review_count:400-500	12
average_stars:3.5-4.0;yelping_since:2005	12
cool:>1000;useful:1700-1800	12
cool:500-600;review_count:500-600	12
average_stars:3.5-4.0;useful:900-1000	10
average_stars:3.0-3.5;useful:600-700	10
cool:400-500;fans:50-60	10
fans:40-50;funny:100-200	10
review_count:200-300;useful:700-800	10
fans:10-20;review_count:400-500	10
cool:500-600;yelping_since:2008	10
fans:50-60;review_count:300-400	10
fans:50-60;useful:>2000	10
useful:800-900;yelping_since:2008	10
fans:20-30;yelping_since:2011	10
review_count:800-900;yelping_since:2009	10
cool:500-600;funny:200-300	10
funny:>1000;review_count:900-1000	10
fans:50-60;yelping_since:2006	10
average_stars:3.0-3.5;yelping_since:2011	10
cool:400-500;fans:30-40	10
useful:100-200;yelping_since:2007	10
cool:400-500;yelping_since:2006	10
fans:40-50;funny:>1000	10
funny:300-400;useful:800-900	10
fans:50-60;yelping_since:2008	10
cool:600-700;fans:30-40	10
cool:>1000;funny:700-800	10
average_stars:3.5-4.0;useful:1400-1500	10
review_count:500-600;yelping_since:2010	10
cool:>1000;funny:800-900	10
average_stars:4.0-4.5;useful:900-1000	10
fans:70-80;useful:>2000	10
fans:110-120;useful:>2000	10
average_stars:4.0-4.5;funny:500-600	10
fans:90-100;useful:>2000	10
fans:30-40;funny:400-500	10
fans:70-80;funny:>1000	10
cool:400-500;useful:1000-1100	10
cool:>1000;fans:90-100	10
average_stars:3.0-3.5;review_count:500-600	10
fans:50-60;review_count:500-600	10
useful:100-200;yelping_since:2011	10
useful:700-800;yelping_since:2008	10
fans:110-120;funny:>1000	10
cool:200-300;yelping_since:2011	10
cool:>1000;useful:1600-1700	10
cool:500-600;fans:20-30	10
cool:400-500;review_count:400-500	10
funny:100-200;review_count:500-600	10
useful:800-900;yelping_since:2010	10
review_count:500-600;yelping_since:2009	10
review_count:600-700;yelping_since:2006	10
cool:200-300;useful:700-800	10
cool:100-200;useful:100-200	10
review_count:200-300;yelping_since:2006	10
fans:20-30;review_count:500-600	10
cool:200-300;funny:300-400	10
fans:90-100;funny:>1000	10
review_count:100-200;useful:600-700	10
review_count:900-1000;useful:>2000	10
cool:300-400;funny:400-500	10
fans:0-10;funny:200-300	10
fans:10-20;useful:700-800	10
average_stars:3.0-3.5;fans:50-60	10
fans:60-70;useful:>2000	10
average_stars:4.0-4.5;fans:80-90	10
cool:0-100;yelping_since:2006	10
average_stars:4.0-4.5;fans:60-70	10
cool:200-300;fans:0-10	10
useful:1000-1100;yelping_since:2009	10
funny:300-400;useful:500-600	10
funny:400-500;review_count:400-500	10
fans:40-50;funny:200-300	10
useful:300-400;yelping_since:2011	10
fans:40-50;funny:400-500	8
funny:>1000;useful:1900-2000	8
cool:>1000;fans:100-110	8
fans:30-40;useful:500-600	8
average_stars:3.0-3.5;review_count:700-800	8
funny:400-500;review_count:100-200	8
fans:60-70;review_count:400-500	8
useful:800-900;yelping_since:2007	8
funny:300-400;useful:1100-1200	8
funny:500-600;yelping_since:2007	8
cool:600-700;review_count:400-500	8
average_stars:4.0-4.5;useful:1000-1100	8
review_count:700-800;yelping_since:2008	8
cool:300-400;review_count:500-600	8
useful:0-100;yelping_since:2009	8
funny:300-400;yelping_since:2010	8
cool:400-500;useful:700-800	8
cool:>1000;useful:1400-1500	8
fans:40-50;useful:1000-1100	8
fans:20-30;useful:1000-1100	8
review_count:400-500;yelping_since:2011	8
review_count:800-900;yelping_since:2006	8
useful:200-300;yelping_since:2006	8
cool:>1000;fans:120-130	8
review_count:400-500;useful:800-900	8
funny:500-600;review_count:300-400	8
useful:100-200;yelping_since:2006	8
cool:500-600;funny:400-500	8
useful:1100-1200;yelping_since:2008	8
average_stars:3.0-3.5;funny:400-500	8
fans:40-50;review_count:600-700	8
fans:100-110;funny:>1000	8
funny:200-300;review_count:600-700	8
average_stars:4.0-4.5;review_count:700-800	8
cool:400-500;yelping_since:2009	8
average_stars:3.5-4.0;fans:110-120	8
fans:30-40;useful:1100-1200	8
average_stars:4.0-4.5;review_count:800-900	8
review_count:200-300;useful:800-900	8
cool:>1000;useful:1900-2000	8
fans:60-70;yelping_since:2007	8
funny:300-400;useful:700-800	8
useful:1000-1100;yelping_since:2007	8
average_stars:3.5-4.0;useful:1600-1700	8
cool:600-700;funny:300-400	8
fans:40-50;useful:600-700	8
average_stars:3.0-3.5;useful:400-500	8
average_stars:4.0-4.5;useful:1100-1200	8
useful:600-700;yelping_since:2010	8
funny:400-500;review_count:300-400	8
fans:60-70;review_count:600-700	8
cool:300-400;yelping_since:2006	8
fans:40-50;review_count:500-600	8
fans:0-10;useful:400-500	8
funny:0-100;review_count:400-500	8
average_stars:3.5-4.0;useful:1500-1600	8
funny:300-400;review_count:600-700	8
cool:600-700;yelping_since:2009	8
funny:400-500;yelping_since:2009	8
review_count:500-600;useful:500-600	8
